headline,date,url,source
ERC se suma en el Senado a la exigencia de dimisión de Puente,2026-02-04,https://elpais.com/noticias/inmigracion/3/,immigration_topic
La Administración Trump anuncia la retirada de 700 agentes federales de Minneapolis,2026-02-04,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Mueren 15 inmigrantes en Grecia tras el choque del barco en que viajaban con un patrullero de la Guardia Costera,2026-02-04,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Últimas noticias,2026-02-04,https://elpais.com/noticias/inmigracion/3/,immigration_topic
El Congreso negocia a contrarreloj para imponer nuevos límites a los agentes del ICE,2026-02-04,https://elpais.com/noticias/inmigracion/4/,immigration_topic
"Trump, Spiderman y el Doctor Octopus",2026-02-04,https://elpais.com/noticias/inmigracion/4/,immigration_topic
La NFL asegura que el ICE no estará en la Super Bowl del domingo,2026-02-04,https://elpais.com/noticias/inmigracion/4/,immigration_topic
Los republicanos desbloquean el cierre parcial del Gobierno en una votación agónica en el Congreso de Estados Unidos,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
ONG italianas denuncian una “caza” al migrante en Túnez tras la muerte de un millar de personas en el Mediterráneo,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
Una jueza frena a la Administración Trump y restituye las visitas no anunciadas del Congreso a los centros del ICE,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
"Dos de cada tres catalanes están de acuerdo con limitar la inmigración, según la encuesta del ICPS",2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
De la crítica al bulo,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
Contradecir la contradicción,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
El equívoco recurso a la extrema derecha,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
Una jueza federal suspende el fin del TPS de 350.000 haitianos,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
Noem anuncia que todos los agentes federales de inmigración en Minneapolis llevarán cámaras corporales,2026-02-03,https://elpais.com/noticias/inmigracion/4/,immigration_topic
¿Por qué Bad Bunny rechaza ‘alien’: la palabra recuperada por Trump para nombrar a los inmigrantes?,2026-02-02,https://elpais.com/noticias/inmigracion/4/,immigration_topic
