url,ministry,year,slug,date
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/011223-balance-criminalidad-tercer-trimestre.aspx,interior,2023,011223-balance-criminalidad-tercer-trimestre,2023-12-01
http://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/011223-balance-criminalidad-tercer-trimestre.aspx,interior,2023,011223-balance-criminalidad-tercer-trimestre,2023-12-01
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/020223-acuerdo-marruecos.aspx,interior,2023,020223-acuerdo-marruecos,2023-02-02
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/020623-voto-extranjero-elecciones-generales-2023.aspx,interior,2023,020623-voto-extranjero-elecciones-generales-2023,2023-06-02
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/030123-datos-inmigracion-irregular.aspx,interior,2023,030123-datos-inmigracion-irregular,2023-01-03
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/030223-seguridad-vial-movilidad-sostenible-dgt.aspx,interior,2023,030223-seguridad-vial-movilidad-sostenible-dgt,2023-02-03
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/030723-suspension-eventos-deportivos-racismo.aspx,interior,2023,030723-suspension-eventos-deportivos-racismo,2023-07-03
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/040423-mercedes-gonzalez-toma-posesion.aspx,interior,2023,040423-mercedes-gonzalez-toma-posesion,2023-04-04
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/040423-voto-desde-extranjero-elecciones-espana.aspx,interior,2023,040423-voto-desde-extranjero-elecciones-espana,2023-04-04
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/040423-voto-por-correo-elecciones-espana.aspx,interior,2023,040423-voto-por-correo-elecciones-espana,2023-04-04
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/interior/Paginas/2023/040523-donde-ir-votar-elecciones-municipales-autonomicas-espana.aspx,interior,2023,040523-donde-ir-votar-elecciones-municipales-autonomicas-espana,2023-05-04
